Date,Open,High,Low,Close,Adj Close,Volume
18-06-2012,316.5,318.049988,311.944,313.862,172.476105,710072
19-06-2012,312.5,313.212006,307.037994,309.819,170.254333,679992
20-06-2012,310,310.600006,306.862,308.830994,169.711426,563008
21-06-2012,306.875,312.681,305.287994,311.524994,171.191849,457992
22-06-2012,306.125,310.531006,305.375,309.388,170.017517,1230912
25-06-2012,310.5,311.181,307.375,308.544006,169.553726,1525112
26-06-2012,306.875,307,303.912994,305.312012,167.777649,638704
27-06-2012,306.381012,309.25,305.256012,308.569,169.567474,393648
28-06-2012,309.375,312.006012,306.424988,309.087006,169.852112,1437440
29-06-2012,311.263,314.375,309.375,312.819,171.902939,462144
02-07-2012,312.125,314.875,311.381012,312.638,171.803482,378384
03-07-2012,313.75,314,309.625,311.968994,171.435852,397440
04-07-2012,312,313.037994,308.75,309.912994,170.306,609984
05-07-2012,310,310.894012,308.125,310.024994,170.367584,1009608
06-07-2012,311.125,311.125,304.888,305.480988,167.870468,576264
09-07-2012,303.75,308.625,300.375,304.600006,167.386383,475232
10-07-2012,306.25,307.75,304.5,307.388,168.918457,386480
11-07-2012,306.237,312.924988,305.5,308.294006,169.416351,1071184
12-07-2012,283.75,285,277.006012,283.156006,155.602295,9952032
13-07-2012,279.962006,282.325012,277.513,278.475006,153.029953,2603192
16-07-2012,279.875,280.256012,270.5,271.575012,149.23819,2808040
17-07-2012,273.125,274.712006,270.375,271.355988,149.117844,2063072
18-07-2012,271.625,273.662994,270.437988,271.975006,149.458008,780944
19-07-2012,275,281.062012,274.375,280.355988,154.063599,1454384
20-07-2012,280.625,280.625,275.743988,277.200012,152.3293,694736
23-07-2012,275,276.25,272.625,273.269012,150.169128,669176
24-07-2012,274.975006,276.375,270.787994,271.169006,149.015106,551208
25-07-2012,271.875,272.487,268.75,270.975006,148.908493,910336
26-07-2012,270.875,270.875,262.705994,265.625,145.968506,1385896
27-07-2012,270.138,270.600006,263.894012,268.605988,147.606644,693312
30-07-2012,269.406006,276.875,269.406006,276.181,151.769333,668504
31-07-2012,276.25,279.037994,273.138,278.424988,153.002487,690920
01-08-2012,278.625,278.980988,275.25,277.381012,152.428787,412256
02-08-2012,276.875,278.5,274.625,275.730988,151.522034,252880
03-08-2012,274.75,277.5,273.263,276.162994,151.759415,450384
06-08-2012,277,279.125,275.937988,276.694,152.051254,282392
07-08-2012,278.25,283.562012,278.024994,281.962006,154.946152,740696
08-08-2012,283.5,286.375,282.394012,285.237,156.74585,1002288
09-08-2012,285.75,288.743988,283.888,284.875,156.546921,603808
10-08-2012,284.5,290,283.125,289.144012,158.892868,630184
13-08-2012,287.75,291.25,287.519012,289.862,159.287415,368304
14-08-2012,289,291.75,286.25,291.243988,160.046906,421000
16-08-2012,291.243988,291.243988,287.774994,289.281006,158.96817,321144
17-08-2012,290,294.375,289.718994,293.924988,161.520157,767464
21-08-2012,295.25,304.843994,295.25,300.881012,165.342682,1292536
22-08-2012,300.75,304.5,299.087006,303.674988,166.878067,745104
23-08-2012,304.25,309.725006,302.899994,308.937988,169.770248,850928
24-08-2012,306.125,307.381012,304.674988,305.669006,167.973816,487848
27-08-2012,302.899994,305.75,300.730988,301.319,165.583359,343544
28-08-2012,299.931,306.187988,299.931,302.924988,166.465881,613928
29-08-2012,302.625,302.625,297.944,298.712006,164.150772,376144
30-08-2012,297.875,300.475006,296.25,298.875,164.240311,492920
31-08-2012,298.625,298.75,295.031006,296.656006,163.02092,408808
03-09-2012,296.375,299.955994,295.412994,296.194,162.767029,420440
04-09-2012,295.75,296.25,292.850006,295.299988,162.275757,307496
05-09-2012,293.5,294.487,288.75,292.306,160.630463,543240
06-09-2012,293.75,303.25,293.625,302.774994,166.383453,1043608
07-09-2012,305.875,311.243988,305.875,310.375,170.559891,779616
10-09-2012,311.875,315.993988,309.794006,313.875,172.483246,874288
